Genre,Movie,Release Year,Rating,Runtime,Gross
"Adventure, Drama, Family",Cinderella,2015,6.9,105 ,542358331
"Animation, Adventure, Comedy",Madagascar,2005,6.9,86 ,542063846
"Action, Adventure, Horror",World War Z,2013,7,116 ,540455876
"Animation, Adventure, Comedy",Brave,2012,7.1,93 ,538983207
"Action, Adventure, Fantasy",The Empire Strikes Back,1980,8.7,124 ,538375067
"Animation, Adventure, Comedy",The Simpsons Movie,2007,7.3,87 ,536414293
"Action, Adventure, Drama",The Revenant,2015,8,156 ,532950503
"Action, Horror, Sci-Fi",The Meg,2018,5.6,113 ,530517320
"Animation, Adventure, Comedy",Ralph Breaks the Internet,2018,7,112 ,529323962
"Animation, Adventure, Comedy",Hotel Transylvania 3: Summer Vacation,2018,6.3,97 ,528583774
"Animation, Adventure, Comedy",The Boss Baby,2017,6.3,97 ,527965936
"Action, Drama, History",Dunkirk,2017,7.8,106 ,527016307
"Animation, Comedy, Family",The Grinch,2018,6.4,85 ,526760632
"Action, Adventure, Sci-Fi",Godzilla,2014,6.4,123 ,524976069
"Animation, Action, Adventure",How to Train Your Dragon: The Hidden World,2019,7.4,104 ,524580592
"Action, Adventure, Mystery",Sherlock Holmes,2009,7.6,128 ,524028679
"Comedy, Romance",Meet the Fockers,2004,6.3,115 ,522657936
"Animation, Adventure, Family",WALL·E,2008,8.4,98 ,521311890
"Animation, Action, Adventure",Kung Fu Panda 3,2016,7.1,95 ,521170825
"Action, Sci-Fi",Terminator 2: Judgment Day,1991,8.6,137 ,520881154
"Action, Comedy, Sci-Fi",Ant-Man,2015,7.3,117 ,519311965
"Action, Sci-Fi, Thriller",Venom: Let There Be Carnage,2021,5.9,97 ,506863592
"Drama, Fantasy, Romance",Ghost,1990,7.1,127 ,505703557
"Animation, Adventure, Comedy",Aladdin,1992,8,90 ,504050219
"Action, Adventure, Drama",Gladiator,2000,8.5,155 ,503162313
"Animation, Adventure, Comedy",Rio 2,2014,6.3,101 ,498781117
Drama,Troy,2004,7.3,163 ,497409852
"Animation, Adventure, Comedy",Toy Story 2,1999,7.9,92 ,497375381
"Animation, Action, Adventure",How to Train Your Dragon,2010,8.1,98 ,494879471
"Action, Adventure, Thriller",Twister,1996,6.4,113 ,494580615
"Adventure, Family, Fantasy",Oz the Great and Powerful,2013,6.3,130 ,493311825
"Action, Adventure, Fantasy",Clash of the Titans,2010,5.8,106 ,493214993
"Adventure, Family, Fantasy",Maleficent: Mistress of Evil,2019,6.6,119 ,491730089
"Action, Adventure, Drama",War for the Planet of the Apes,2017,7.4,140 ,490719763
"Animation, Adventure, Comedy",Shrek,2001,7.9,90 ,488351320
"Action, Comedy, Crime",Mr. & Mrs. Smith,2005,6.5,120 ,487287646
"Action, Mystery, Thriller",Angels & Demons,2009,6.7,138 ,485930816
"Action, Adventure, Comedy",Teenage Mutant Ninja Turtles,2014,5.8,101 ,485004754
"Comedy, Fantasy",Bruce Almighty,2003,6.8,101 ,484592874
"Animation, Adventure, Comedy",Rio,2011,6.9,96 ,483866772
"Drama, War",Saving Private Ryan,1998,8.6,169 ,482349603
"Action, Drama, Sci-Fi",Rise of the Planet of the Apes,2011,7.6,105 ,481800873
"Comedy, Family",Home Alone,1990,7.7,103 ,476684675
"Adventure, Mystery, Thriller",Jaws,1975,8.1,124 ,476512065
"Animation, Adventure, Comedy",Hotel Transylvania 2,2015,6.6,89 ,475186706
"Action, Adventure, Fantasy",Star Wars: Episode VI - Return of the Jedi,1983,8.3,131 ,475106177
"Adventure, Comedy, Family",Charlie and the Chocolate Factory,2005,6.7,115 ,474968763
"Action, Adventure",Indiana Jones and the Last Crusade,1989,8.2,127 ,474171806
"Action, Adventure, Thriller",San Andreas,2015,6.1,114 ,474009154
"Drama, Fantasy, Horror",It Chapter Two,2019,6.5,169 ,473122525
"Comedy, Drama, Music",La La Land,2016,8,128 ,472013241
"Animation, Adventure, Comedy",Wreck-It Ralph,2012,7.7,101 ,471222889
"Action, Sci-Fi, Thriller",Godzilla vs. Kong,2021,6.3,113 ,470116094
Comedy,The Hangover,2009,7.7,100 ,469328079
"Action, Sci-Fi, Thriller",Lucy,2014,6.4,89 ,469058574
"Animation, Action, Adventure",The Lego Movie,2014,7.7,100 ,468266122
"Action, Adventure, Sci-Fi",Bumblebee,2018,6.7,114 ,467989645
"Action, Adventure, Sci-Fi",Star Trek Into Darkness,2013,7.7,132 ,467365246
"Action, Sci-Fi",The Matrix,1999,8.7,136 ,467222728
"Comedy, Romance",Pretty Woman,1990,7.1,119 ,463406268
"Animation, Adventure, Comedy",Cars,2006,7.2,117 ,461991867
"Action, Drama, History",Ba bai,2020,6.7,149 ,461421559
"Action, Adventure, Sci-Fi",X-Men: The Last Stand,2006,6.6,104 ,460435291
"Comedy, Sci-Fi",Du xing yue qiu,2022,6.4,122 ,460237662
"Action, Adventure, Mystery",National Treasure: Book of Secrets,2007,6.5,124 ,459242249
"Action, Adventure, Thriller",Mission: Impossible,1996,7.1,110 ,457696391
"Action, Drama",300,2006,7.6,117 ,456082343
"Action, Drama",The Last Samurai,2003,7.8,154 ,454627263
"Animation, Action, Adventure",Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.2,117 ,453210959
"Comedy, Drama",Wo bu shi yao shen,2018,7.8,117 ,451183391
"Crime, Thriller",Ocean's Eleven,2001,7.7,116 ,450717150
"Drama, History",Wo he wo de zu guo,2019,6.3,154 ,450064993
"Action, Fantasy",Thor,2011,7,115 ,449326618
"Action, Drama, History",Pearl Harbor,2001,6.2,183 ,449220945
